,Title,Author,,Price,Star Rating
51,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
52,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
53,Towards a New Understanding of Masculine Habitus and Women and Leadership in Public Relations (Routledge New Directions in PR & Communication Research),Martina Topić,30 Sept 2022,£35.09,4.8 out of 5 stars
54,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
55,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
56,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
57,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
58,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
59,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
60,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
61,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
62,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
63,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
64,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
65,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
66,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
67,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
68,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
69,Learning Spark: Lightning-Fast Data Analytics,No Author Found,21 Aug 2020,£43.98,4.7 out of 5 stars
70,Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25 Nov 2022,£33.99,3.9 out of 5 stars
71,"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11 Jul 2022,£24.99,3.5 out of 5 stars
72,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
73,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
74,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
75,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
76,Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,1 Apr 2022,£14.97,4.2 out of 5 stars
77,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
78,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
79,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
80,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
81,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
82,Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,6 Jan 2024,£42.26,No Rating Found
83,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
84,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
85,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
86,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
87,"The Cybersecurity Bible: [5 in 1] The All-In-One Guide to Detect, Prevent, and Manage Cyber Threats. Includes Hands-On Exercises to Become an Expert and Lead Your (First) Security Team",Rick C. Worley,12 Feb 2024,£15.58,4.8 out of 5 stars
88,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
89,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
90,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
91,Learning Spark: Lightning-Fast Data Analytics,No Author Found,21 Aug 2020,£43.98,4.7 out of 5 stars
92,Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25 Nov 2022,£33.99,3.9 out of 5 stars
93,"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11 Jul 2022,£24.99,3.5 out of 5 stars
94,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
95,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
96,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
97,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
98,The Kubernetes Book,Nigel Poulton,20 Jun 2023,£42.99,4.5 out of 5 stars
99,Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,1 Apr 2022,£14.97,4.2 out of 5 stars
100,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
101,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
102,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
103,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
104,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
105,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
106,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
107,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
108,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
109,Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,6 Jan 2024,£42.26,No Rating Found
110,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
111,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
112,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
113,Towards a New Understanding of Masculine Habitus and Women and Leadership in Public Relations (Routledge New Directions in PR & Communication Research),Martina Topić,30 Sept 2022,£35.09,4.8 out of 5 stars
114,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
115,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
116,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
117,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
118,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
119,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
120,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
121,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
122,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
123,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
124,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
125,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
126,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
127,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
128,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
129,Towards a New Understanding of Masculine Habitus and Women and Leadership in Public Relations (Routledge New Directions in PR & Communication Research),Martina Topić,30 Sept 2022,£35.09,4.8 out of 5 stars
130,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
131,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
132,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
133,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
134,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
135,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
136,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
137,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
138,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
139,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
140,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
141,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
142,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
143,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
144,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
145,Learning Spark: Lightning-Fast Data Analytics,No Author Found,21 Aug 2020,£43.98,4.7 out of 5 stars
146,Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25 Nov 2022,£33.99,3.9 out of 5 stars
147,"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11 Jul 2022,£24.99,3.5 out of 5 stars
148,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
149,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
150,"The Definitive Guide to Azure Data Engineering: Modern ELT, DevOps, and Analytics on the Azure Cloud Platform",Ron C. L'Esteve,7 Aug 2021,£39.99,4.1 out of 5 stars
151,Data Engineering on Azure,Vlad Riscutia,21 Sept 2021,£28.65,4.6 out of 5 stars
152,The Kubernetes Book,Nigel Poulton,20 Jun 2023,£42.99,4.5 out of 5 stars
153,Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology),Leonard J. Ledger,1 Apr 2022,£14.97,4.2 out of 5 stars
154,"Ace the Data Engineering Interview: Questions and Answers for Python, SQL, Data Modeling and More",Sean Coyne,30 Oct 2023,£23.58,4.1 out of 5 stars
155,Data Governance For Dummies (For Dummies (Computer/tech)),Jonathan Reichental,5 Dec 2022,£18.71,4.4 out of 5 stars
156,Microsoft Azure Data Engineering: The Big Reference Guide (The Data Engineering Series),Jack Reynolds,28 Feb 2023,£0.00,5.0 out of 5 stars
157,"MICROSOFT AZURE DATA ENGINEER ASSOCIATE | MASTER THE EXAM (DP-203): DATA ENGINEERING ON MICROSOFT AZURE, 10 PRACTICE TESTS,500 RIGOROUS QUESTIONS, ... EXPERT EXPLANATIONS AND ONE ULTIMATE GOAL",Mr Anand M,19 Feb 2024,£23.78,No Rating Found
158,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
159,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",Manoj Kukreja,22 Oct 2021,£28.99,3.8 out of 5 stars
160,Observability Engineering: Achieving Production Excellence,Charity Majors,31 May 2022,£37.44,4.3 out of 5 stars
161,"Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies, 2nd Edition",No Author Found,17 Jan 2022,£39.99,4.5 out of 5 stars
162,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,Ahmad Osama,5 Apr 2021,£28.99,3.5 out of 5 stars
163,Blockchain Essentials: Core Concepts and Implementations,Ramchandra Sharad Mangrulkar,6 Jan 2024,£42.26,No Rating Found
164,"Engineers Survival Guide: Advice, tactics, and tricks After a decade of working at Facebook, Snapchat, and Microsoft",Merih Taze,28 Nov 2021,£29.99,4.4 out of 5 stars
165,Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,Scott Haines,22 Mar 2022,£39.76,4.0 out of 5 stars
166,ICT and Data Sciences (Green Engineering and Technology),No Author Found,16 May 2022,£126.24,No Rating Found
167,Learning Spark: Lightning-Fast Data Analytics,No Author Found,21 Aug 2020,£43.98,4.7 out of 5 stars
168,Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide: The comprehensive guide to passing the DP-900 exam on your first attempt,Marcelo Leite,25 Nov 2022,£33.99,3.9 out of 5 stars
169,"Mastering Databricks Lakehouse Platform: Perform Data Warehousing, Data Engineering, Machine Learning, DevOps, and BI into a Single Platform (English Edition)",Sagar Lad,11 Jul 2022,£24.99,3.5 out of 5 stars
170,"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,30 Jun 2023,£37.99,4.7 out of 5 stars
171,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,Adi Wijaya,31 Mar 2022,£39.99,4.6 out of 5 stars
